gambar;judul
Gambar 2.1;Jumlah Puskesmas Di Indonesia Tahun 2013-2017
Gambar 2.2;Rasio Puskesmas Per Kecamatan Di Indonesia Tahun 2017
Gambar 2.3;Jumlah Puskesmas Yang Memberikan Pelayanan Sesuai Standar Di Indonesia Tahun 2017
Gambar 2.4;Jumlah Puskesmas Rawat Inap Dan Non Rawat Inap Di Indonesia Tahun 2013-2017
Gambar 2.5;Jumlah Puskesmas Yang Melaksanakan Pelayanan Kesehatan Kerja Dasar Di Indonesia Tahun 2017
Gambar 2.6;Jumlah Puskesmas Yang Melaksanakan Kegiatan Kesehatan Olahraga Pada Kelompok Masyarakat Di Indonesia 2017
Gambar 2.7;Jumlah Puskesmas Yang Melaksanakan Kegiatan Kesehatan Olahraga Bagi Anak Sekolah Dasar (Sd) Di Indonesia Tahun 2017
Gambar 2.8;Puskesmas Yang Menyelenggarakan Pelayanan Kesehatan Tradisional Di Indonesia Tahun 2017
Gambar 2.9;Puskesmas Yang Menyelenggarakan Hatra, Asman, Dan Pelatihan Nakes Di Indonesia Tahun 2017
Gambar 2.10;Persentase Akreditasi Puskesmas Di Indonesia Tahun 2017
Gambar 2.11;Jumlah Klinik Utama Per Provinsi Di Indonesia Tahun 2017
Gambar 2.12;Jumlah Klinik Pratama Per Provinsi Di Indonesia Tahun 2017
Gambar 2.13;Jumlah Praktik Mandiri Dokter Umum Per Provinsi Di Indonesia Tahun 2017
Gambar 2.14;Jumlah Praktik Mandiri Dokter Gigi Per Provinsi Di Indonesia Tahun 2017
Gambar 2.15;Perkembangan Jumlah Rumah Sakit Umum Dan Rumah Sakit Khusus Di Indonesia Tahun 2014 – 2017
Gambar 2.16;Persentase Rumah Sakit Menurut Kelas Di Indonesia Tahun 2017
Gambar 2.17;Rasio Jumlah Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Tahun  2013 – 2017
Gambar 2.18;Rasio Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Tahun 2017
Gambar 2.19;Persentase Akreditasi Rumah Sakit Di Indonesia Tahun 2017
Gambar 2.20;Distribusi Unit Transfusi Darah (Utd) Di Indonesia Tahun 2017
Gambar 2.21;Jumlah Program Studi Poltekkes Diploma Iii Dan Iv Di Indonesia Tahun 2017
Gambar 2.22;Jumlah Peserta Didik Diploma Iii Dan Diploma Iv Poltekkes Di Indonesia Tahun 2017
Gambar 2.23;Jumlah Sarana Produksi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2017
Gambar 2.24;Jumlah Sarana Distribusi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2017
Gambar 2.25;Persentase Instalasi Farmasi Kabupaten/Kota Yang Melakukan Manajemen Pengelolaan Obat Dan Vaksin Sesuai Standar Di Indonesia Tahun 2017
Gambar 2.26;Persentase Posyandu Aktif Per Provinsi Di Indonesia Tahun 2017
